url,language
https://www.bbc.com/news/technology-68546450,en
https://edition.cnn.com/2024/03/13/tech/ai-european-union,en
https://www.telegraph.co.uk/business/2024/09/19/meddling-eurocrats-dragging-bloc-back-to-dark-ages/,en
https://telex.hu/belfold/2025/06/16/magyar-mesterseges-intelligencia-hivatal-ai-act-eu,hu
https://telex.hu/gazdasag/2024/09/17/nagy-marton-a-magyar-vallalatok-az-ai-hasznalat-teren-lemaradtak-az-eu-atlagtol,hu
https://magyarnemzet.hu/gazdasag/2024/05/fokuszba-kerul-a-mesterseges-intelligencia-szabalyozasa,hu
https://www.zeit.de/news/2025-08/02/neue-eu-regeln-fordern-transparenz-von-ki-modell-anbietern,de
https://www.sueddeutsche.de/kultur/anja-brauneck-kuenstler-urheberrecht-copyright-ai-act-eu-1.7251424?reduced=true,de
https://www.derstandard.at/story/3000000255009/ai-act-ab-sonntag-sind-hochgefaehrliche-ki-anwendungen-in-der-eu-verboten,de
https://ictglobal.hu/technologia/elesedik-az-eu-ai-act-mire-keszuljunk-fel/,hu
https://www.hwsw.hu/hirek/68694/aiact-hatarido-megfeleles-szabalyok-szankcio-buntetes.html,hu
https://www.deutschlandfunk.de/ai-act-eu-kuenstliche-intelligenz-gefahr-regulierung-100.html,de
https://t3n.de/news/ai-act-eu-ki-gesetz-regeln-strafen-1595725/,de
https://news.it-matchmaker.com/eu-ai-act-buerokratisch-unpraktisch-schlecht/,de
https://2b-advice.com/en/2024/08/07/ai-act-entered-into-force-on-august-1-this-is-what-happens-now/,en
https://symbio6.nl/en/blog/criticism-of-eu-ai-act,en
https://www.bruegel.org/analysis/european-union-ai-act-premature-or-precocious-regulation,en
https://chinaobservers.eu/eus-war-on-us-big-tech-is-handing-china-the-future/,en
https://www.cryptopolitan.com/eu-ai-act-may-cede-ai-lead-to-us-china/,en
https://americanedgeproject.org/overregulation-is-undermining-europe-in-the-global-tech-race-and-empowering-china/,en
https://regulatingai.org/europes-ai-dilemma-balancing-innovation-regulation-global-pressure/,en
https://www.winssolutions.org/european-union-technological-innovation/,en
https://infopoint-europa.de/de/articles/die-auswirkungen-der-eu-ki-verordnung-auf-den-europaeischen-binnenmarkt,de
https://www.5-ht.com/media/blog/kunstliche-intelligenz-vorreiterrolle-oder-innovationsbremse-der-eu-ai-act,de
https://www.optimaze.hu/blog/eu-ai-act-az-innovacio-korlatja,hu
